Ticket,Open,Type,Volume,Symbol,Price_open,SL,TP,Close,Price_close,Swap,Commissions,Profit,Pips,Trade duration in seconds
57356074,2022-11-29 19:59:25,buy,7.0,US100.cash,11513.9,11483.0,11550.0,2022-11-29 20:18:14,11481.7,0.0,0.0,-225.4,-32.2,1129
57309525,2022-11-29 15:15:23,sell,0.5,XAUUSD,1752.53,1757.3,1548.3,2022-11-29 16:44:34,1750.15,0.0,-0.88,119.0,2.38,5351
57320747,2022-11-29 16:29:11,sell,7.0,US100.cash,11600.6,11629.0,11565.0,2022-11-29 16:43:55,11579.9,0.0,0.0,144.9,20.7,884
57309406,2022-11-29 15:14:59,sell,5.0,US100.cash,11611.9,11659.0,11574.0,2022-11-29 16:35:14,11574.6,0.0,0.0,186.5,37.3,4815
57306826,2022-11-29 14:59:35,sell,0.5,XAUUSD,1755.04,1757.8,1749.7,2022-11-29 16:19:10,1749.64,0.0,-0.88,270.0,5.4,4775
57260529,2022-11-29 05:32:51,buy,0.5,XAUUSD,1750.1,1744.5,1755.0,2022-11-29 06:59:19,1753.92,0.0,-0.88,191.0,3.82,5188
57256663,2022-11-29 04:10:39,buy,12.0,US100.cash,11617.2,11592.0,11633.0,2022-11-29 05:25:42,11633.1,0.0,0.0,190.8,15.9,4503
57252605,2022-11-29 02:43:46,buy,10.0,US100.cash,11609.0,11579.0,11627.0,2022-11-29 05:19:59,11627.1,0.0,0.0,181.0,18.1,9373
57254648,2022-11-29 03:31:39,buy,0.77,XAUUSD,1743.68,1739.5,1746.0,2022-11-29 03:56:05,1746.0,0.0,-1.34,178.64,2.32,1466
57242891,2022-11-28 21:31:44,sell,0.5,XAUUSD,1740.3,1746.0,1736.5,2022-11-28 23:02:08,1740.38,0.0,-0.88,-4.0,-0.08,5424
57246932,2022-11-28 22:35:30,sell,5.0,US100.cash,11560.0,11608.0,11523.0,2022-11-28 23:02:02,11595.6,0.0,0.0,-178.0,-35.6,1592
57219326,2022-11-28 17:58:28,sell,0.5,XAUUSD,1745.28,1750.3,1740.0,2022-11-28 21:03:18,1739.96,0.0,-0.87,266.0,5.32,11090
57196259,2022-11-28 16:18:55,sell,0.5,XAUUSD,1751.09,1756.7,1746.0,2022-11-28 16:40:28,1745.76,0.0,-0.88,266.5,5.33,1293
57193211,2022-11-28 16:01:15,buy,7.0,US100.cash,11683.8,11656.0,11725.0,2022-11-28 16:33:36,11725.6,0.0,0.0,292.6,41.8,1941
57137857,2022-11-28 06:40:46,buy,0.82,XAUUSD,1751.4,1748.2,1754.3,2022-11-28 10:16:08,1754.44,0.0,-1.44,249.28,3.04,12922
57129426,2022-11-28 03:29:59,sell,0.6,XAUUSD,1748.84,1754.0,1745.0,2022-11-28 09:14:03,1754.01,0.0,-1.05,-310.2,-5.17,20644
57140494,2022-11-28 07:58:08,sell,7.0,US100.cash,11642.2,0.0,0.0,2022-11-28 08:00:18,11648.6,0.0,0.0,-44.8,-6.4,130
57125593,2022-11-28 02:14:45,sell,9.0,US100.cash,11698.9,11725.0,11670.0,2022-11-28 03:05:25,11670.0,0.0,0.0,260.1,28.9,3040
57030576,2022-11-24 20:20:55,sell,2.12,XAUUSD,1755.07,1757.5,1752.5,2022-11-24 21:06:42,1754.65,0.0,-3.72,89.04,0.42,2747
