,time,open,high,low,close,tick_volume,spread,real_volume
11571,1545035400,1237.59,1237.93,1237.49,1237.49,119,12,0
11572,1545037200,1237.49,1238.39,1237.29,1238.28,461,15,0
11573,1545039000,1238.28,1238.97,1238.18,1238.85,1167,16,0
11574,1545040800,1238.84,1239.15,1237.57,1237.67,2537,16,0
11575,1545042600,1237.67,1238.47,1237.55,1238.03,1576,19,0
11576,1545044400,1238.03,1238.55,1237.94,1238.16,763,19,0
11577,1545046200,1238.16,1238.36,1237.75,1238.35,318,17,0
11578,1545048000,1238.35,1239.94,1238.15,1239.38,1596,16,0
11579,1545049800,1239.37,1240.04,1239.14,1239.73,1244,15,0
11580,1545051600,1239.73,1240.25,1239.62,1239.91,529,22,0
11581,1545053400,1239.91,1240.1,1239.58,1239.88,417,22,0
11582,1545055200,1239.88,1240.08,1239.26,1239.67,726,21,0
11583,1545057000,1239.69,1240.19,1239.53,1239.81,889,21,0
11584,1545058800,1239.81,1240.31,1239.3,1239.6,1087,16,0
11585,1545060600,1239.6,1242.03,1239.6,1241.56,1642,15,0
11586,1545062400,1241.56,1241.58,1240.65,1241.22,1076,18,0
11587,1545064200,1241.22,1242.55,1241.12,1241.87,2260,18,0
11588,1545066000,1241.86,1242.26,1240.99,1242.11,1801,15,0
11589,1545067800,1242.11,1242.7,1241.58,1242.59,1886,16,0
11590,1545069600,1242.59,1244.15,1242.17,1242.98,3161,15,0
11591,1545071400,1242.98,1243.01,1242.21,1242.73,1493,19,0
11592,1545073200,1242.73,1244.41,1242.69,1243.89,1635,17,0
11593,1545075000,1243.89,1246.71,1243.79,1246.7,1338,16,0
11594,1545076800,1246.73,1248.06,1246.53,1247.89,2202,18,0
11595,1545078600,1247.91,1247.91,1245.99,1246.19,1405,17,0
11596,1545080400,1246.19,1246.6,1245.59,1245.92,1332,17,0
11597,1545082200,1245.92,1246.0,1245.31,1245.61,2068,17,0
11598,1545084000,1245.59,1246.51,1245.31,1246.14,2666,15,0
11599,1545085800,1246.15,1246.75,1245.61,1246.11,1459,15,0
11600,1545087600,1246.11,1246.44,1245.71,1245.78,445,19,0
11601,1545089400,1245.75,1245.99,1245.35,1245.8,328,20,0
11602,1545091200,1245.93,1250.34,1245.01,1249.25,92437,0,0
11603,1545094800,1245.69,1245.83,1244.97,1245.66,348,18,0
11604,1545096600,1245.68,1246.41,1245.61,1245.83,518,21,0
11605,1545098400,1245.83,1246.25,1245.38,1246.21,499,18,0
11606,1545100200,1246.21,1246.52,1246.01,1246.05,426,23,0
11607,1545102000,1246.05,1246.73,1245.43,1246.65,716,21,0
11608,1545103800,1246.65,1247.55,1246.45,1247.19,739,18,0
11609,1545105600,1247.25,1248.15,1247.25,1248.04,577,19,0
11610,1545107400,1248.04,1248.04,1247.55,1247.94,446,19,0
11611,1545109200,1247.95,1248.36,1247.75,1248.16,637,20,0
11612,1545111000,1248.19,1248.79,1248.13,1248.38,612,23,0
11613,1545112800,1248.39,1248.88,1248.33,1248.85,565,24,0
11614,1545114600,1248.83,1248.93,1248.24,1248.31,354,20,0
11615,1545116400,1248.31,1248.41,1247.95,1248.09,521,21,0
11616,1545118200,1247.99,1248.17,1247.34,1247.4,673,21,0
11617,1545120000,1247.4,1247.4,1246.11,1246.44,739,21,0
11618,1545121800,1246.36,1246.44,1245.08,1245.27,609,18,0
11619,1545123600,1245.26,1246.68,1245.03,1246.23,958,18,0
11620,1545125400,1246.23,1247.89,1246.23,1247.83,1823,19,0
11621,1545127200,1247.83,1249.03,1247.63,1248.44,1883,19,0
11622,1545129000,1248.45,1248.75,1247.66,1248.45,1528,19,0
11623,1545130800,1248.45,1248.59,1247.46,1248.29,1669,19,0
11624,1545132600,1248.29,1249.71,1248.25,1249.2,1763,17,0
11625,1545134400,1249.19,1249.66,1248.64,1249.35,1425,20,0
11626,1545136200,1249.36,1249.45,1248.32,1249.42,1889,19,0
11627,1545138000,1249.42,1250.33,1249.21,1249.71,1047,18,0
11628,1545139800,1249.66,1249.88,1248.84,1248.91,2251,16,0
11629,1545141600,1248.91,1249.19,1247.54,1248.57,1567,19,0
11630,1545143400,1248.57,1248.69,1246.64,1247.19,1922,18,0
11631,1545145200,1247.19,1248.01,1246.51,1247.92,2355,19,0
11632,1545147000,1247.92,1248.39,1246.88,1247.76,2602,15,0
11633,1545148800,1247.76,1248.04,1246.05,1246.16,2126,21,0
11634,1545150600,1246.16,1247.9,1245.75,1247.06,3780,18,0
11635,1545152400,1247.06,1247.92,1246.52,1247.1,1699,16,0
11636,1545154200,1247.1,1248.02,1246.39,1246.65,1781,15,0
11637,1545156000,1246.65,1248.97,1246.19,1248.35,1698,18,0
11638,1545157800,1248.35,1248.74,1247.68,1248.23,1826,16,0
11639,1545159600,1248.23,1249.47,1248.11,1248.32,1329,15,0
11640,1545161400,1248.31,1249.47,1248.31,1249.05,1232,15,0
11641,1545163200,1249.05,1249.78,1248.39,1249.36,1625,17,0
11642,1545165000,1249.36,1249.68,1248.73,1249.37,1407,16,0
11643,1545166800,1249.37,1249.91,1249.25,1249.36,1424,20,0
11644,1545168600,1249.36,1249.69,1248.61,1248.83,1387,17,0
11645,1545170400,1248.84,1249.54,1248.83,1248.95,977,15,0
11646,1545172200,1248.94,1249.36,1248.51,1249.25,519,18,0
11647,1545174000,1249.21,1249.48,1249.15,1249.27,413,23,0
11648,1545175800,1249.22,1249.45,1249.14,1249.37,311,19,0
11649,1545177600,1249.57,1257.97,1241.64,1242.44,100576,0,0
11650,1545181200,1249.78,1249.97,1249.61,1249.67,295,18,0
11651,1545183000,1249.67,1249.86,1249.37,1249.45,441,20,0
11652,1545184800,1249.44,1250.85,1249.37,1250.16,961,17,0
11653,1545186600,1250.23,1250.27,1248.87,1249.27,821,19,0
11654,1545188400,1249.27,1249.68,1248.97,1249.29,752,22,0
11655,1545190200,1249.3,1249.42,1248.47,1249.08,673,21,0
11656,1545192000,1249.08,1250.41,1248.98,1250.31,658,19,0
11657,1545193800,1250.3,1250.82,1250.13,1250.78,790,21,0
11658,1545195600,1250.8,1251.06,1250.5,1250.65,680,16,0
11659,1545197400,1250.62,1250.8,1250.43,1250.44,515,18,0
11660,1545199200,1250.46,1251.19,1250.43,1251.13,582,20,0
11661,1545201000,1251.13,1251.24,1250.89,1251.0,505,20,0
11662,1545202800,1251.05,1251.28,1250.67,1250.97,486,21,0
11663,1545204600,1250.97,1251.03,1250.31,1250.31,523,18,0
11664,1545206400,1250.31,1250.42,1249.32,1249.5,613,20,0
11665,1545208200,1249.5,1250.48,1249.5,1249.6,587,15,0
11666,1545210000,1249.6,1250.47,1249.3,1250.29,552,19,0
11667,1545211800,1250.29,1250.49,1249.79,1249.79,858,16,0
11668,1545213600,1249.79,1251.2,1249.52,1250.89,1114,17,0
11669,1545215400,1250.89,1251.32,1250.47,1250.55,586,15,0
11670,1545217200,1250.57,1250.88,1249.57,1249.77,892,21,0
11671,1545219000,1249.77,1250.02,1247.65,1248.05,1677,17,0
11672,1545220800,1248.05,1249.13,1246.71,1248.77,1782,20,0
11673,1545222600,1248.76,1248.76,1247.65,1247.86,1460,20,0
11674,1545224400,1247.86,1248.55,1247.67,1248.06,2213,20,0
11675,1545226200,1248.05,1248.65,1247.71,1248.29,1695,18,0
11676,1545228000,1248.3,1248.38,1247.86,1248.07,1023,21,0
11677,1545229800,1248.07,1248.26,1247.27,1247.8,880,18,0
11678,1545231600,1247.79,1248.39,1247.11,1248.39,1421,20,0
11679,1545233400,1248.39,1248.55,1247.49,1248.32,2261,20,0
11680,1545235200,1248.3,1250.94,1248.06,1250.61,2702,16,0
11681,1545237000,1250.62,1256.99,1250.6,1255.66,3927,16,0
11682,1545238800,1255.76,1257.99,1255.4,1257.44,3206,17,0
11683,1545240600,1257.44,1257.92,1254.19,1254.34,2248,17,0
11684,1545242400,1254.31,1256.68,1254.22,1255.8,1871,20,0
11685,1545244200,1255.78,1255.94,1254.35,1255.22,2633,22,0
11686,1545246000,1255.22,1255.37,1253.22,1253.63,4315,18,0
11687,1545247800,1253.67,1253.76,1252.48,1252.66,2928,16,0
11688,1545249600,1252.66,1253.31,1252.08,1252.5,2912,17,0
11689,1545251400,1252.49,1253.68,1250.18,1251.52,1807,15,0
11690,1545253200,1251.52,1251.52,1242.84,1245.75,6977,15,0
11691,1545255000,1245.7,1246.71,1242.02,1244.02,3821,19,0
11692,1545256800,1244.03,1244.67,1241.87,1243.5,5297,17,0
11693,1545258600,1243.48,1244.15,1241.69,1241.78,3231,15,0
11694,1545260400,1241.77,1242.92,1241.61,1242.89,681,17,0
11695,1545262200,1242.9,1243.66,1242.71,1242.98,677,20,0
11696,1545264000,1242.82,1266.31,1242.56,1259.25,244024,0,0
11697,1545267600,1244.23,1244.88,1243.36,1243.36,240,20,0
11698,1545269400,1243.36,1244.27,1243.16,1244.01,306,28,0
11699,1545271200,1244.01,1244.07,1243.25,1243.58,743,20,0
11700,1545273000,1243.59,1244.59,1243.07,1244.59,760,22,0
11701,1545274800,1244.59,1245.01,1242.68,1243.68,938,18,0
11702,1545276600,1243.71,1245.27,1243.61,1244.99,930,17,0
11703,1545278400,1245.0,1245.7,1244.84,1244.84,605,16,0
11704,1545280200,1244.83,1244.89,1243.78,1244.28,544,17,0
11705,1545282000,1244.28,1244.72,1243.98,1244.48,1023,23,0
11706,1545283800,1244.47,1244.71,1243.78,1244.52,731,23,0
11707,1545285600,1244.5,1244.94,1244.11,1244.3,467,21,0
11708,1545287400,1244.35,1245.4,1244.21,1245.19,571,22,0
11709,1545289200,1245.18,1245.38,1244.61,1244.79,700,21,0
